invoice_id,org_id,month,subtotal,credits,taxes,currency,exchange_rate_to_usd
inv_nym31sk0,org_xaji0y6d,2025-06-01,1133.34,,238.0,USD,0.97684
inv_540sejok,org_xaji0y6d,2025-07-01,619.17,,130.03,USD,1.00331
inv_ilp4vn2v,org_xaji0y6d,2025-08-01,540.79,,113.57,ARS,0.0016
inv_27nls4sz,org_pbhsahxt,2025-06-01,520.91,,109.39,ARS,0.00147
inv_xq1k1qrr,org_pbhsahxt,2025-07-01,909.56,,191.01,EUR,1.09929
inv_n5n5ehq4,org_pbhsahxt,2025-08-01,2048.95,25.93,430.28,USD,1.03282
inv_03ivwack,org_hv3a3zmf,2025-06-01,350.32,,73.57,ARS,0.00158
inv_ln9tlyo6,org_hv3a3zmf,2025-07-01,1579.4,,331.67,ARS,0.00152
inv_74dphu2x,org_hv3a3zmf,2025-08-01,580.08,,121.82,USD,0.95689
inv_rfnh671p,org_8mdd4v30,2025-06-01,951.0,4.78,199.71,USD,1.03016
inv_j0ak269r,org_8mdd4v30,2025-07-01,819.36,,172.07,USD,1.04544
inv_yohcknew,org_8mdd4v30,2025-08-01,618.66,,129.92,USD,0.98955
inv_jr73cknu,org_t9nt3w5u,2025-06-01,425.48,,89.35,USD,0.9839
inv_2mwm3728,org_t9nt3w5u,2025-07-01,345.44,11.43,72.54,ARS,0.00151
inv_pu8hn8xz,org_t9nt3w5u,2025-08-01,862.81,,181.19,EUR,1.12905
inv_4osu2ma9,org_zbikcidk,2025-06-01,557.64,,117.1,USD,0.94896
inv_0ds1bhrn,org_zbikcidk,2025-07-01,1038.68,,218.12,USD,1.02551
inv_lqlfwuui,org_zbikcidk,2025-08-01,764.27,,160.5,ARS,0.00149
inv_u52w85yp,org_wnnhj7xv,2025-06-01,1070.89,14.58,224.89,EUR,1.0106
inv_s859txad,org_wnnhj7xv,2025-07-01,199.9,66.45,41.98,EUR,1.0373
inv_n2tvdnhb,org_wnnhj7xv,2025-08-01,405.73,,85.2,ARS,0.00136
inv_obvgyihu,org_g0fn9xuy,2025-06-01,1087.58,,228.39,USD,1.03992
inv_ivgayiuq,org_g0fn9xuy,2025-07-01,681.65,,143.15,USD,0.96706
inv_gx8uwtk7,org_g0fn9xuy,2025-08-01,-1125.54,3.42,236.36,USD,1.00132
inv_s1oqo0j4,org_41ibljh7,2025-06-01,587.88,9.3,123.45,USD,0.96914
inv_eaisdk0o,org_41ibljh7,2025-07-01,444.36,,93.32,USD,1.00291
inv_kk0ojbqu,org_41ibljh7,2025-08-01,283.95,5.78,59.63,USD,0.95534
inv_111vpivx,org_5lxo6qji,2025-06-01,2037.64,,427.9,USD,1.08628
inv_sytp4jul,org_5lxo6qji,2025-07-01,535.14,,112.38,ARS,0.00144
inv_sxl8nv9u,org_5lxo6qji,2025-08-01,1851.84,59.87,388.89,EUR,1.07054
inv_zi3lplfw,org_ujv6oh9s,2025-06-01,979.51,19.57,205.7,USD,0.93308
inv_afn21472,org_ujv6oh9s,2025-07-01,710.27,0.62,149.16,ARS,0.00152
inv_j8np9s8e,org_ujv6oh9s,2025-08-01,861.92,1.12,181.0,ARS,0.00154
inv_9gf2fxx9,org_dbdw2pcn,2025-06-01,1187.26,,249.33,USD,0.96453
inv_xjue6ihr,org_dbdw2pcn,2025-07-01,681.77,7.91,143.17,USD,1.03014
inv_uj9ycsrk,org_dbdw2pcn,2025-08-01,389.5,6.59,81.8,EUR,1.10725
inv_5slsbjlv,org_9t84azyt,2025-06-01,677.45,,142.26,USD,1.03636
inv_y6l1xxx2,org_9t84azyt,2025-07-01,501.32,,105.28,USD,0.95366
inv_n2sua5m4,org_9t84azyt,2025-08-01,793.74,,166.69,ARS,0.00146
inv_eo0xjjvh,org_jxepq85j,2025-06-01,734.51,18.31,154.25,USD,0.94783
inv_oiqnd8m5,org_jxepq85j,2025-07-01,1074.05,,225.55,USD,0.96069
inv_2gcf9spq,org_jxepq85j,2025-08-01,907.66,,190.61,USD,0.90162
inv_dnblwd8m,org_sg65kxvf,2025-06-01,987.53,,207.38,USD,0.96489
inv_7amndi5t,org_sg65kxvf,2025-07-01,627.78,6.16,131.83,USD,1.09665
inv_bdjgggu5,org_sg65kxvf,2025-08-01,504.87,4.2,106.02,USD,0.98785
inv_rpzh4yyb,org_1t2tala7,2025-06-01,440.01,27.17,92.4,USD,1.03051
inv_khtab92w,org_1t2tala7,2025-07-01,733.71,,154.08,ARS,0.0015
inv_c3bnecjq,org_1t2tala7,2025-08-01,1280.11,,268.82,ARS,0.00154
inv_427u1nvm,org_53lc58dr,2025-06-01,1045.29,,219.51,EUR,1.11029
inv_eagwp82h,org_53lc58dr,2025-07-01,482.04,,101.23,USD,1.10573
inv_6sgl5wr6,org_53lc58dr,2025-08-01,217.58,,45.69,USD,0.97138
inv_zebcvf6f,org_c11ertj5,2025-06-01,1729.12,9.97,363.11,EUR,1.09935
inv_ovk2hqkq,org_c11ertj5,2025-07-01,1255.59,,263.67,ARS,0.0016
inv_8fkcek2g,org_c11ertj5,2025-08-01,1061.88,,223.0,USD,0.92466
inv_pm4ghdom,org_pht0hl9x,2025-06-01,557.59,69.44,117.09,USD,0.99469
inv_spfqlfqe,org_pht0hl9x,2025-07-01,195.06,,40.96,USD,1.06336
inv_biwrcqla,org_pht0hl9x,2025-08-01,422.33,3.34,88.69,USD,0.95312
inv_6m04yprp,org_pseimvih,2025-06-01,465.63,10.21,97.78,ARS,0.00147
inv_aqccgzdn,org_pseimvih,2025-07-01,535.63,6.59,112.48,USD,0.88065
inv_5v38n2ui,org_pseimvih,2025-08-01,1050.47,7.03,220.6,EUR,1.06485
inv_ziwnt0z8,org_cwi64ciy,2025-06-01,1410.93,,296.3,USD,1.0946
inv_5prcpkfd,org_cwi64ciy,2025-07-01,1123.55,18.42,235.94,USD,0.93839
inv_tbjoj02w,org_cwi64ciy,2025-08-01,1238.24,,260.03,USD,0.93981
inv_y0ufbc16,org_he7ur23g,2025-06-01,647.43,,135.96,USD,1.05381
inv_lks2dvgo,org_he7ur23g,2025-07-01,267.9,14.71,56.26,ARS,0.00145
inv_ni9hilzn,org_he7ur23g,2025-08-01,1218.19,53.81,255.82,USD,1.01482
inv_kq5a36e1,org_dppq0y9d,2025-06-01,561.77,,117.97,USD,0.97433
inv_jqqxf2a8,org_dppq0y9d,2025-07-01,1527.72,,320.82,USD,0.93384
inv_jc3mzwty,org_dppq0y9d,2025-08-01,467.65,,98.21,USD,0.90612
inv_257wuqq4,org_om5igqpk,2025-06-01,579.58,,121.71,USD,1.02836
inv_tndnqbvr,org_om5igqpk,2025-07-01,565.84,28.09,118.83,ARS,0.00147
inv_081i1ccm,org_om5igqpk,2025-08-01,1033.34,,217.0,USD,0.9616
inv_n3dn1gzc,org_i7p5tb94,2025-06-01,637.68,,133.91,USD,1.05817
inv_v9nxbv30,org_i7p5tb94,2025-07-01,1017.36,,213.65,USD,1.10642
inv_bmzw7539,org_i7p5tb94,2025-08-01,-849.43,18.2,178.38,USD,1.04212
inv_mh4qx495,org_874frhoc,2025-06-01,448.43,,94.17,ARS,0.00148
inv_ajgatxpx,org_874frhoc,2025-07-01,450.85,,94.68,USD,0.95791
inv_zqu3o193,org_874frhoc,2025-08-01,719.67,,151.13,USD,0.94852
inv_x23cus50,org_n9j2qp89,2025-06-01,1299.22,18.3,272.84,ARS,0.00153
inv_av7h4vck,org_n9j2qp89,2025-07-01,1309.61,79.06,275.02,USD,0.95046
inv_u3cqbhey,org_n9j2qp89,2025-08-01,697.84,,146.55,EUR,1.13498
inv_ysm4yyq3,org_uzfk8ut0,2025-06-01,640.22,,134.45,USD,0.9675
inv_42dyqzs5,org_uzfk8ut0,2025-07-01,345.59,3.46,72.57,USD,0.96037
inv_dupx06lb,org_uzfk8ut0,2025-08-01,872.19,45.72,183.16,USD,1.04473
inv_rhlvo2y9,org_cvs4f8cg,2025-06-01,730.7,70.88,153.45,USD,1.04106
inv_3fm348ni,org_cvs4f8cg,2025-07-01,283.27,,59.49,EUR,1.13637
inv_747x202v,org_cvs4f8cg,2025-08-01,498.91,40.44,104.77,USD,0.99037
inv_mbmp050o,org_vyie6ivw,2025-06-01,1456.73,13.95,305.91,USD,0.96392
inv_rneee0jq,org_vyie6ivw,2025-07-01,515.33,,108.22,USD,0.94323
inv_9rvn97y8,org_vyie6ivw,2025-08-01,-910.68,70.98,191.24,USD,0.96732
inv_xltnvv1g,org_pvs7hzio,2025-06-01,1238.82,,260.15,ARS,0.00162
inv_fbchz6pu,org_pvs7hzio,2025-07-01,607.47,12.67,127.57,EUR,1.04196
inv_f3edpvgn,org_pvs7hzio,2025-08-01,647.56,,135.99,EUR,1.05629
inv_yhc1rhlo,org_ykl1cq99,2025-06-01,656.54,12.6,137.87,EUR,1.14214
inv_e20rillp,org_ykl1cq99,2025-07-01,861.1,,180.83,USD,0.98014
inv_gey18jse,org_ykl1cq99,2025-08-01,895.8,,188.12,USD,1.03113
inv_uo4vknqu,org_chj755nf,2025-06-01,686.38,,144.14,USD,1.0532
inv_feucxsm7,org_chj755nf,2025-07-01,481.18,3.95,101.05,USD,1.04053
inv_2ujz4n1x,org_chj755nf,2025-08-01,1585.03,,332.86,ARS,0.00148
inv_l8yrr4ck,org_4zw9xa3k,2025-06-01,1144.26,2.25,240.29,USD,1.02789
inv_cekklmsz,org_4zw9xa3k,2025-07-01,716.55,,150.48,ARS,0.00139
inv_clm4f8fw,org_4zw9xa3k,2025-08-01,392.95,19.54,82.52,USD,1.013
inv_s0gv4qmp,org_x7eedtjv,2025-06-01,470.55,,98.82,EUR,1.10674
inv_5jhdt629,org_x7eedtjv,2025-07-01,565.7,,118.8,USD,1.02814
inv_3tlo1i7x,org_x7eedtjv,2025-08-01,-879.97,56.93,184.79,USD,0.95074
inv_j2czafr0,org_zhwjr64d,2025-06-01,816.1,18.49,171.38,ARS,0.00133
inv_rwm4f7a4,org_zhwjr64d,2025-07-01,1055.77,6.44,221.71,USD,0.97394
inv_2s5ww7xh,org_zhwjr64d,2025-08-01,822.75,3.7,172.78,EUR,1.09051
inv_f4wiq8hl,org_pja1wj0t,2025-06-01,862.2,,181.06,ARS,0.00142
inv_swdlr4kn,org_pja1wj0t,2025-07-01,390.29,2.67,81.96,EUR,1.09952
inv_bd9o45fg,org_pja1wj0t,2025-08-01,750.83,,157.67,USD,0.99416
inv_3mlof683,org_pac56t4u,2025-06-01,1143.8,24.42,240.2,USD,0.93679
inv_mjozgxua,org_pac56t4u,2025-07-01,871.09,,182.93,USD,1.06594
inv_4dqxin67,org_pac56t4u,2025-08-01,-701.47,2.71,147.31,USD,0.96736
inv_273jyzbb,org_fel6246h,2025-06-01,250.64,11.79,52.63,USD,0.96281
inv_27s9bu1d,org_fel6246h,2025-07-01,101.28,,21.27,USD,1.08962
inv_gej1dg6f,org_fel6246h,2025-08-01,1001.28,,210.27,ARS,0.00152
inv_wronbvpx,org_id25owf7,2025-06-01,1654.23,,347.39,USD,0.98005
inv_d06jgypm,org_id25owf7,2025-07-01,917.17,71.11,192.6,USD,1.06089
inv_2fm72c6z,org_id25owf7,2025-08-01,1579.19,,331.63,ARS,0.00148
inv_5tpwy0tu,org_5935a0l7,2025-06-01,678.43,,142.47,USD,0.95714
inv_zg2vg35x,org_5935a0l7,2025-07-01,1328.13,,278.91,USD,1.0296
inv_dku6jeda,org_5935a0l7,2025-08-01,610.56,,128.22,USD,1.04125
inv_d38youge,org_253j2d54,2025-06-01,1304.26,,273.89,USD,0.93882
inv_4of633bq,org_253j2d54,2025-07-01,605.88,,127.24,EUR,1.14824
inv_6fwsklws,org_253j2d54,2025-08-01,409.19,,85.93,USD,1.00852
inv_8onkctq7,org_i3qk2iag,2025-06-01,498.02,,104.58,USD,1.01282
inv_vin5lvdo,org_i3qk2iag,2025-07-01,976.24,11.2,205.01,ARS,0.00154
inv_8yu98gfe,org_i3qk2iag,2025-08-01,493.26,,103.58,EUR,1.09817
inv_x6dcledo,org_l58kxo9t,2025-06-01,523.12,,109.86,USD,1.01139
inv_515igjza,org_l58kxo9t,2025-07-01,1328.74,,279.04,EUR,1.13251
inv_e557o7rc,org_l58kxo9t,2025-08-01,516.59,0.9,108.48,USD,0.97375
inv_i2afi41j,org_7e8g8jdp,2025-06-01,631.17,,132.55,USD,1.02804
inv_ip23rb1w,org_7e8g8jdp,2025-07-01,531.8,,111.68,USD,0.94082
inv_0xwxvtx6,org_7e8g8jdp,2025-08-01,306.2,32.48,64.3,USD,1.02576
inv_poqbt55r,org_0lvsnujz,2025-06-01,1316.02,,276.36,ARS,0.00152
inv_ebxgkya3,org_0lvsnujz,2025-07-01,1600.22,21.0,336.05,USD,1.05778
inv_z5ncy31z,org_0lvsnujz,2025-08-01,675.07,,141.77,USD,1.00193
inv_r7kq9mgm,org_a7tz0ync,2025-06-01,638.06,11.12,133.99,USD,0.91585
inv_5p39vhg9,org_a7tz0ync,2025-07-01,361.09,,75.83,USD,0.96679
inv_p01zulgt,org_a7tz0ync,2025-08-01,242.36,39.74,50.9,ARS,0.00157
inv_dt2sgngy,org_xll4zklo,2025-06-01,1739.36,,365.27,USD,1.04569
inv_f4tpa50b,org_xll4zklo,2025-07-01,1025.17,,215.28,USD,1.02761
inv_g5m61isv,org_xll4zklo,2025-08-01,368.42,24.51,77.37,USD,0.97876
inv_uccpugcg,org_okep7y6w,2025-06-01,1205.25,12.86,253.1,USD,1.04503
inv_izzm399a,org_okep7y6w,2025-07-01,857.31,3.38,180.04,USD,0.98114
inv_rau76uxv,org_okep7y6w,2025-08-01,972.36,5.31,204.2,USD,1.08965
inv_2o2qszo1,org_ktakpuxq,2025-06-01,283.18,,59.47,USD,0.98594
inv_i736mv3t,org_ktakpuxq,2025-07-01,654.61,,137.47,USD,1.01351
inv_0kg6umh4,org_ktakpuxq,2025-08-01,-1355.74,,284.71,ARS,0.00157
inv_gblckuhy,org_phr62gds,2025-06-01,-696.82,2.12,146.33,USD,0.99772
inv_d07dvrmy,org_phr62gds,2025-07-01,1041.96,0.62,218.81,EUR,1.12328
inv_93pomv7m,org_phr62gds,2025-08-01,-644.77,,135.4,ARS,0.00135
inv_bci56fjp,org_wm31yiha,2025-06-01,636.91,2.84,133.75,EUR,1.13069
inv_z42q8bz5,org_wm31yiha,2025-07-01,420.67,13.34,88.34,ARS,0.00154
inv_3gwtfcc2,org_wm31yiha,2025-08-01,1530.15,,321.33,ARS,0.00146
inv_sw01m4y0,org_ir4cowgz,2025-06-01,1217.09,9.87,255.59,USD,1.01569
inv_4lf3cf08,org_ir4cowgz,2025-07-01,306.75,,64.42,USD,0.98538
inv_p1r3cl4h,org_ir4cowgz,2025-08-01,1297.19,,272.41,EUR,1.15025
inv_9dato9bp,org_rixa11dp,2025-06-01,536.35,1.54,112.63,USD,1.00649
inv_12uj3a3t,org_rixa11dp,2025-07-01,394.97,12.45,82.94,USD,0.88098
inv_sazk8zy7,org_rixa11dp,2025-08-01,411.0,13.49,86.31,USD,0.93228
inv_eskzadbs,org_g8sbi4q2,2025-06-01,-570.69,,119.84,USD,0.85463
inv_9cwqq2g1,org_g8sbi4q2,2025-07-01,340.79,,71.57,USD,0.97866
inv_kvr6ax8k,org_g8sbi4q2,2025-08-01,859.17,57.66,180.43,EUR,1.0715
inv_xxj0lebn,org_y9v86wzs,2025-06-01,871.78,,183.07,ARS,0.00149
inv_52kocwde,org_y9v86wzs,2025-07-01,660.6,43.69,138.73,USD,1.06243
inv_mm0uez19,org_y9v86wzs,2025-08-01,1052.55,55.7,221.04,ARS,0.00149
inv_yei8p4ye,org_3t60rjiw,2025-06-01,1025.41,47.98,215.34,ARS,0.00147
inv_dn2z2v17,org_3t60rjiw,2025-07-01,427.72,,89.82,USD,1.0094
inv_tz63rrpn,org_3t60rjiw,2025-08-01,945.37,17.44,198.53,USD,1.0106
inv_csqc2vd8,org_1swjckjl,2025-06-01,927.15,,194.7,USD,0.8992
inv_iqwfjrbn,org_1swjckjl,2025-07-01,195.78,20.14,41.11,USD,1.10347
inv_vl0os3x2,org_1swjckjl,2025-08-01,1144.04,,240.25,USD,1.05087
inv_3ietyr9x,org_teiyzcot,2025-06-01,778.23,,163.43,USD,1.03986
inv_20bw2mrl,org_teiyzcot,2025-07-01,529.19,,111.13,USD,1.01249
inv_lgu1tlxz,org_teiyzcot,2025-08-01,62.77,46.81,13.18,USD,0.9783
inv_b63v1vqy,org_ohp6vz41,2025-06-01,651.04,,136.72,USD,1.00368
inv_lbos46a9,org_ohp6vz41,2025-07-01,472.07,,99.13,ARS,0.00154
inv_08cmqxgy,org_ohp6vz41,2025-08-01,681.35,,143.08,EUR,1.19808
inv_mymmhlk1,org_nam148p0,2025-06-01,-538.22,1.21,113.03,USD,1.03612
inv_b17zyqzs,org_nam148p0,2025-07-01,-810.1,17.86,170.12,USD,1.07247
inv_s8v5x6e9,org_nam148p0,2025-08-01,667.18,36.24,140.11,USD,1.11791
inv_d70qfx7a,org_tvhhpbmy,2025-06-01,729.97,,153.29,USD,0.99477
inv_1l1cegoy,org_tvhhpbmy,2025-07-01,501.79,,105.38,USD,0.99553
inv_nry6k7ay,org_tvhhpbmy,2025-08-01,131.79,0.0,27.68,USD,1.01406
inv_lprsjj8e,org_ofqewaou,2025-06-01,649.97,0.65,136.49,USD,0.94617
inv_k38cjtqe,org_ofqewaou,2025-07-01,242.74,2.54,50.98,USD,1.05044
inv_aeq2ifqb,org_ofqewaou,2025-08-01,870.55,,182.82,USD,0.9406
inv_kk2bilnp,org_axeqbnhl,2025-06-01,597.48,10.41,125.47,USD,0.99161
inv_t95xj3y1,org_axeqbnhl,2025-07-01,1312.26,0.8,275.57,USD,0.97936
inv_xc2i92pv,org_axeqbnhl,2025-08-01,1339.51,,281.3,USD,1.01062
inv_07uj4fqk,org_1n13jcat,2025-06-01,1079.91,2.3,226.78,ARS,0.00153
inv_sd7gdp9i,org_1n13jcat,2025-07-01,826.88,,173.65,USD,1.03005
inv_i37y3d2f,org_1n13jcat,2025-08-01,1335.42,13.87,280.44,USD,0.94846
inv_nc3cii1j,org_9mx2x18h,2025-06-01,756.84,,158.94,USD,0.96162
inv_0f53qb38,org_9mx2x18h,2025-07-01,726.07,,152.48,USD,0.97049
inv_yhedxfe3,org_9mx2x18h,2025-08-01,1452.17,,304.96,USD,1.03888
inv_jwe46xaa,org_afeyuhz1,2025-06-01,-1671.83,3.6,351.08,USD,1.01834
inv_d0xh2mec,org_afeyuhz1,2025-07-01,800.47,,168.1,USD,0.97433
inv_yjxp7x80,org_afeyuhz1,2025-08-01,818.15,19.3,171.81,USD,1.08766
inv_nhje1e3d,org_gv0e38da,2025-06-01,629.46,,132.19,USD,0.94678
inv_yywzl0oz,org_gv0e38da,2025-07-01,1243.5,,261.14,ARS,0.00147
inv_t4lh19l8,org_gv0e38da,2025-08-01,1169.35,,245.56,ARS,0.00161
inv_oexntjw3,org_ly8ozcyw,2025-06-01,675.41,0.38,141.84,USD,1.01784
inv_x8gghtv3,org_ly8ozcyw,2025-07-01,755.95,,158.75,ARS,0.00157
inv_sy80w5gs,org_ly8ozcyw,2025-08-01,-1095.1,,229.97,EUR,0.9981
inv_m7rbrxdy,org_d14ve92m,2025-06-01,777.2,,163.21,USD,1.07556
inv_633m236m,org_d14ve92m,2025-07-01,2237.39,21.64,469.85,EUR,1.17482
inv_kzrrk6uj,org_d14ve92m,2025-08-01,1178.6,,247.51,USD,0.93353
inv_vbp3bau5,org_pnsm43d8,2025-06-01,1009.17,,211.93,ARS,0.00159
inv_7ote0q32,org_pnsm43d8,2025-07-01,290.76,,61.06,USD,1.08478
inv_rv23u65x,org_pnsm43d8,2025-08-01,1159.3,3.7,243.45,USD,0.97369
inv_nufa4afm,org_w3zp08j3,2025-06-01,1152.0,,241.92,EUR,1.08059
inv_3mhpdpu9,org_w3zp08j3,2025-07-01,696.56,,146.28,ARS,0.00149
inv_43fwjbuo,org_w3zp08j3,2025-08-01,878.73,,184.53,USD,0.93182
inv_ey6drhy1,org_trp0j43d,2025-06-01,693.35,8.13,145.6,EUR,1.10467
inv_hnxiyyvi,org_trp0j43d,2025-07-01,1371.34,,287.98,ARS,0.00153
inv_wst87quf,org_trp0j43d,2025-08-01,526.5,,110.56,ARS,0.00147
inv_7p2r6u0m,org_5iqvnb4g,2025-06-01,618.03,,129.79,USD,1.03636
inv_2v0mw405,org_5iqvnb4g,2025-07-01,577.18,8.27,121.21,USD,1.05753
inv_g00r5y52,org_5iqvnb4g,2025-08-01,943.51,,198.14,ARS,0.00148
inv_pdi47kah,org_h2m5zja8,2025-06-01,436.82,17.98,91.73,USD,1.01806
inv_8oxenq7j,org_h2m5zja8,2025-07-01,931.88,8.92,195.7,USD,0.93401
inv_bx9k7mnc,org_h2m5zja8,2025-08-01,356.7,25.33,74.91,USD,0.92375
inv_ticeaae5,org_dzr1yxr2,2025-06-01,1060.1,24.75,222.62,USD,0.90157
inv_ezfrxymm,org_dzr1yxr2,2025-07-01,850.4,11.5,178.58,USD,0.97481
inv_2798p7pr,org_dzr1yxr2,2025-08-01,1217.78,,255.73,USD,1.01774
inv_jhhzh139,org_dhylurtp,2025-06-01,758.85,,159.36,USD,1.05293
inv_q0ep8v1u,org_dhylurtp,2025-07-01,596.99,,125.37,ARS,0.0015
inv_c8eanr1c,org_dhylurtp,2025-08-01,1150.2,49.92,241.54,ARS,0.00154
inv_gwj9s8u2,org_0lzjjege,2025-06-01,1179.39,,247.67,ARS,0.00139
inv_87m5c6re,org_0lzjjege,2025-07-01,319.01,5.42,66.99,ARS,0.00146
inv_aguucqb3,org_0lzjjege,2025-08-01,1683.69,16.87,353.57,ARS,0.00154
inv_9bw4q46d,org_t1ghr09s,2025-06-01,455.78,,95.71,USD,1.05265
inv_erg870sb,org_t1ghr09s,2025-07-01,1346.7,,282.81,USD,1.06638
inv_9fyy9v3z,org_t1ghr09s,2025-08-01,496.75,,104.32,USD,0.97813
inv_sozacfax,org_kdgigatj,2025-06-01,810.75,9.4,170.26,USD,1.00897
inv_r57ev1kg,org_kdgigatj,2025-07-01,506.47,13.03,106.36,USD,0.92825
inv_vxlobicl,org_kdgigatj,2025-08-01,1631.75,,342.67,USD,0.97486
