org_id,org_name,industry,hq_region,plan_tier,is_enterprise,signup_date,sales_rep,lifecycle_stage,marketing_source,nps_score
org_xaji0y6d,Nimbus Labs 0,Education,sa-east,standard,True,2025-05-26,rep_c,churned,partner,
org_pbhsahxt,Nova Tech 1,Education,us-east,standard,False,2025-06-16,rep_d,lead,event,-3.0
org_hv3a3zmf,Gamma Data 2,Media,eu-central,pro,True,2025-05-12,rep_c,active,organic,4.0
org_8mdd4v30,Apex Data 3,Manufacturing,sa-east,standard,False,2025-05-30,rep_b,active,ads,12.0
org_t9nt3w5u,Delta Digital 4,E-commerce,us-west,standard,False,2025-05-16,rep_d,active,partner,17.0
org_zbikcidk,Omega Tech 5,Retail,eu-central,pro,False,2025-05-20,rep_e,active,organic,
org_wnnhj7xv,Alpha Data 6,Manufacturing,sa-east,pro,False,2025-05-29,rep_c,active,event,14.0
org_g0fn9xuy,Nimbus Data 7,E-commerce,us-east,free,False,2025-06-24,rep_e,active,event,4.0
org_41ibljh7,Gamma Cloud 8,Education,us-west,standard,False,2025-05-26,rep_c,active,ads,22.0
org_5lxo6qji,Omega Labs 9,Healthcare,ap-south,free,False,2025-06-03,rep_d,at_risk,referral,12.0
org_ujv6oh9s,Delta Digital 10,Energy,sa-east,enterprise,False,2025-05-10,rep_a,active,event,51.0
org_dbdw2pcn,Nimbus AI 11,Retail,ap-northeast,standard,True,2025-05-04,rep_d,active,event,12.0
org_9t84azyt,Vertex Data 12,Fintech,ap-northeast,enterprise,False,2025-06-04,rep_b,active,referral,
org_jxepq85j,Alpha Cloud 13,Gaming,ap-northeast,free,False,2025-05-20,rep_d,prospect,event,81.0
org_sg65kxvf,Omega Data 14,E-commerce,ap-northeast,standard,False,2025-06-21,rep_a,active,event,
org_1t2tala7,Gamma Data 15,Media,eu-central,enterprise,False,2025-06-03,rep_b,active,event,41.0
org_53lc58dr,Apex Digital 16,Energy,eu-west,standard,True,2025-05-10,rep_a,active,organic,11.0
org_c11ertj5,Apex Cloud 17,Retail,eu-west,pro,False,2025-06-27,rep_d,churned,organic,14.0
org_pht0hl9x,Nimbus Data 18,Government,eu-central,pro,False,2025-05-09,rep_a,active,referral,-4.0
org_pseimvih,Vertex Data 19,Fintech,eu-central,standard,False,2025-05-30,rep_d,active,event,-7.0
org_cwi64ciy,Gamma Digital 20,Media,ap-northeast,standard,False,2025-06-07,rep_e,active,event,-28.0
org_he7ur23g,Alpha Labs 21,Gaming,eu-central,free,False,2025-06-13,rep_a,at_risk,referral,-1.0
org_dppq0y9d,Vertex Labs 22,Manufacturing,ap-south,standard,False,2025-06-26,rep_c,at_risk,partner,-1.0
org_om5igqpk,Beta Cloud 23,Energy,sa-east,pro,False,2025-05-23,rep_b,active,ads,-17.0
org_i7p5tb94,Zenith Cloud 24,Manufacturing,us-east,free,False,2025-05-21,rep_e,active,ads,27.0
org_874frhoc,Vertex Data 25,Healthcare,us-east,free,False,2025-06-03,rep_d,churned,partner,26.0
org_n9j2qp89,Nova AI 26,Retail,us-west,standard,False,2025-05-30,rep_b,churned,organic,-2.0
org_uzfk8ut0,Omega Data 27,Government,ap-south,standard,False,2025-06-19,rep_c,active,partner,11.0
org_cvs4f8cg,Zenith Digital 28,Gaming,us-east,standard,False,2025-07-01,rep_b,prospect,referral,
org_vyie6ivw,Beta Digital 29,Government,us-east,pro,False,2025-06-27,rep_e,active,referral,3.0
org_pvs7hzio,Zenith AI 30,Education,ap-northeast,free,True,2025-05-29,rep_e,prospect,partner,37.0
org_ykl1cq99,Omega Tech 31,Energy,ap-northeast,pro,True,2025-05-31,rep_b,active,ads,34.0
org_chj755nf,Delta Tech 32,Fintech,eu-central,pro,False,2025-06-05,rep_d,active,partner,25.0
org_4zw9xa3k,Alpha Cloud 33,Manufacturing,us-west,standard,False,2025-06-10,rep_d,prospect,ads,
org_x7eedtjv,Apex Cloud 34,Energy,ap-south,pro,True,2025-06-10,rep_b,active,partner,-6.0
org_zhwjr64d,Vertex Labs 35,Retail,eu-central,standard,False,2025-05-06,rep_c,at_risk,partner,53.0
org_pja1wj0t,Nimbus Digital 36,Education,eu-central,standard,False,2025-06-19,rep_a,active,organic,11.0
org_pac56t4u,Gamma Cloud 37,Healthcare,eu-central,enterprise,False,2025-05-21,rep_a,active,partner,101.0
org_fel6246h,Omega Labs 38,Gaming,eu-central,standard,False,2025-06-10,rep_d,at_risk,organic,65.0
org_id25owf7,Zenith Data 39,Fintech,ap-south,pro,False,2025-06-14,rep_b,active,event,30.0
org_5935a0l7,Omega Digital 40,Gaming,ap-south,standard,False,2025-05-08,rep_a,active,partner,2.0
org_253j2d54,Zenith Tech 41,Gaming,sa-east,standard,False,2025-06-06,rep_b,active,ads,14.0
org_i3qk2iag,Vertex Cloud 42,Gaming,ap-south,standard,False,2025-06-19,rep_d,active,organic,
org_l58kxo9t,Delta Cloud 43,E-commerce,sa-east,pro,False,2025-06-06,rep_a,active,event,20.0
org_7e8g8jdp,Zenith Digital 44,Manufacturing,eu-central,standard,True,2025-05-06,rep_d,active,ads,1.0
org_0lvsnujz,Nova Cloud 45,Retail,us-east,standard,False,2025-05-19,rep_e,prospect,event,-1.0
org_a7tz0ync,Omega Cloud 46,E-commerce,us-west,enterprise,False,2025-06-29,rep_e,active,organic,17.0
org_xll4zklo,Zenith Cloud 47,Government,eu-west,pro,False,2025-05-26,rep_b,lead,organic,
org_okep7y6w,Alpha Labs 48,Education,ap-northeast,enterprise,False,2025-05-08,rep_e,at_risk,ads,-13.0
org_ktakpuxq,Delta Digital 49,Fintech,us-east,pro,True,2025-05-19,rep_b,active,event,4.0
org_phr62gds,Nova Data 50,Education,ap-northeast,enterprise,False,2025-06-24,rep_e,active,ads,25.0
org_wm31yiha,Gamma Tech 51,Healthcare,us-east,standard,False,2025-06-11,rep_d,active,ads,21.0
org_ir4cowgz,Delta Tech 52,Manufacturing,us-east,standard,False,2025-06-29,rep_e,at_risk,referral,-8.0
org_rixa11dp,Vertex AI 53,Government,eu-central,standard,False,2025-05-24,rep_c,churned,event,4.0
org_g8sbi4q2,Zenith AI 54,Gaming,ap-south,standard,False,2025-05-14,rep_e,lead,organic,-33.0
org_y9v86wzs,Zenith Labs 55,Retail,us-west,pro,False,2025-05-11,rep_c,at_risk,referral,
org_3t60rjiw,Nimbus Cloud 56,Gaming,ap-south,enterprise,False,2025-06-25,rep_b,active,ads,41.0
org_1swjckjl,Beta Tech 57,Government,eu-west,standard,True,2025-06-03,rep_e,active,organic,-4.0
org_teiyzcot,Vertex Cloud 58,Healthcare,us-east,pro,False,2025-05-09,rep_e,active,partner,79.0
org_ohp6vz41,Gamma Tech 59,Retail,ap-south,standard,False,2025-05-29,rep_b,active,event,45.0
org_nam148p0,Alpha Labs 60,Government,ap-south,standard,False,2025-06-09,rep_d,churned,organic,21.0
org_tvhhpbmy,Nova Tech 61,Healthcare,eu-central,enterprise,True,2025-07-01,rep_a,active,event,0.0
org_ofqewaou,Nimbus Tech 62,Gaming,ap-south,pro,True,2025-06-16,rep_d,active,organic,25.0
org_axeqbnhl,Nova Labs 63,Healthcare,ap-south,standard,True,2025-06-19,rep_b,active,referral,
org_1n13jcat,Nimbus Tech 64,Healthcare,us-east,free,True,2025-07-02,rep_a,active,event,34.0
org_9mx2x18h,Omega AI 65,Retail,us-west,standard,True,2025-06-30,rep_d,active,event,14.0
org_afeyuhz1,Gamma Labs 66,Education,ap-south,standard,False,2025-05-16,rep_d,active,ads,50.0
org_gv0e38da,Gamma Labs 67,Government,us-east,pro,False,2025-05-26,rep_a,active,ads,9.0
org_ly8ozcyw,Gamma AI 68,Government,ap-northeast,standard,False,2025-06-27,rep_b,prospect,referral,62.0
org_d14ve92m,Vertex Cloud 69,Education,eu-west,pro,True,2025-07-02,rep_b,active,event,19.0
org_pnsm43d8,Delta Labs 70,Manufacturing,eu-central,standard,False,2025-05-10,rep_e,active,partner,44.0
org_w3zp08j3,Delta Tech 71,Education,eu-central,standard,False,2025-06-14,rep_b,at_risk,partner,44.0
org_trp0j43d,Beta Cloud 72,Fintech,sa-east,pro,False,2025-05-12,rep_d,active,partner,50.0
org_5iqvnb4g,Gamma Labs 73,Manufacturing,us-east,enterprise,False,2025-05-08,rep_e,at_risk,partner,36.0
org_h2m5zja8,Nova AI 74,Manufacturing,sa-east,standard,True,2025-06-28,rep_a,active,organic,41.0
org_dzr1yxr2,Beta AI 75,E-commerce,eu-west,standard,False,2025-05-24,rep_d,at_risk,organic,-38.0
org_dhylurtp,Nimbus Cloud 76,Fintech,ap-south,pro,False,2025-05-29,rep_d,active,organic,
org_0lzjjege,Alpha Cloud 77,Media,eu-west,standard,False,2025-07-02,rep_e,active,referral,-7.0
org_t1ghr09s,Beta Cloud 78,Gaming,sa-east,standard,False,2025-06-06,rep_a,active,event,11.0
org_kdgigatj,Zenith Tech 79,Gaming,ap-northeast,standard,False,2025-06-29,rep_d,active,referral,10.0
