ticket_id,org_id,category,severity,created_at,resolved_at,csat,sla_breached
tkt_zjrumxqw,org_x7eedtjv,performance,low,2025-07-02,2025-07-08,4.0,False
tkt_3b4nthzm,org_gv0e38da,security,low,2025-07-21,2025-07-22,,False
tkt_32hzs32d,org_9mx2x18h,availability,low,2025-07-03,2025-07-05,3.0,False
tkt_1jqbexgf,org_1swjckjl,usability,critical,2025-07-18,2025-07-22,4.0,False
tkt_vnnvbzw5,org_trp0j43d,integration,low,2025-07-26,2025-07-31,3.0,False
tkt_apmxd6lq,org_h2m5zja8,security,medium,2025-06-14,2025-06-26,5.0,False
tkt_ga3qupo4,org_jxepq85j,availability,low,2025-06-22,2025-07-07,4.0,False
tkt_jnmyk851,org_i3qk2iag,availability,medium,2025-05-11,2025-05-14,,False
tkt_6sp18obs,org_c11ertj5,security,low,2025-08-30,,3.0,False
tkt_7587h91e,org_t9nt3w5u,performance,low,2025-07-02,,4.0,False
tkt_l88l12qf,org_nam148p0,availability,low,2025-07-22,2025-07-24,,False
tkt_af5kcihd,org_8mdd4v30,security,medium,2025-05-20,2025-06-03,,False
tkt_iy4nrmqy,org_teiyzcot,billing,high,2025-08-27,2025-08-27,,False
tkt_z6y3z1de,org_3t60rjiw,usability,low,2025-06-11,2025-06-12,5.0,True
tkt_1e1630po,org_5lxo6qji,usability,low,2025-06-11,2025-06-11,,False
tkt_cr0vhv1n,org_w3zp08j3,performance,medium,2025-07-25,,4.0,False
tkt_m3v16xeg,org_5iqvnb4g,billing,low,2025-07-24,,,False
tkt_hpmxpkn3,org_53lc58dr,security,medium,2025-06-20,2025-06-20,3.0,False
tkt_b8pfy4qc,org_x7eedtjv,performance,low,2025-06-17,2025-06-17,2.0,False
tkt_yd52alun,org_ykl1cq99,integration,low,2025-06-07,,3.0,True
tkt_qr8o1kjw,org_9t84azyt,usability,medium,2025-06-30,2025-07-05,2.0,False
tkt_v2qnrmtn,org_id25owf7,integration,low,2025-05-23,2025-05-24,,False
tkt_29tnyfm7,org_ofqewaou,billing,medium,2025-07-16,2025-07-20,4.0,False
tkt_vh30qbke,org_53lc58dr,billing,low,2025-06-23,2025-06-23,6.0,False
tkt_rn6yjmk3,org_dzr1yxr2,usability,critical,2025-08-20,2025-08-25,4.0,False
tkt_tgmalwvm,org_pbhsahxt,integration,medium,2025-06-01,2025-06-01,,False
tkt_b0idd0wp,org_pac56t4u,availability,critical,2025-08-31,2025-09-07,,False
tkt_j8yi340s,org_ofqewaou,billing,medium,2025-07-04,2025-07-04,4.0,False
tkt_qcnf9w5n,org_cwi64ciy,integration,medium,2025-08-16,2025-08-19,1.0,False
tkt_9c70pa8j,org_53lc58dr,security,low,2025-07-01,,,False
tkt_x54pegjk,org_a7tz0ync,usability,high,2025-08-01,,,False
tkt_s4i2nr1p,org_5935a0l7,billing,low,2025-07-09,,5.0,False
tkt_02jyv6yj,org_pac56t4u,performance,low,2025-08-28,2025-09-06,5.0,False
tkt_oaoejv9l,org_253j2d54,performance,medium,2025-06-09,,3.0,False
tkt_halckz3v,org_pvs7hzio,billing,medium,2025-07-04,2025-07-22,,False
tkt_wlo7ammp,org_id25owf7,usability,low,2025-06-29,2025-07-08,4.0,False
tkt_q0hzyjb4,org_cvs4f8cg,security,low,2025-06-02,2025-06-02,,False
tkt_8wumh9nk,org_kdgigatj,security,low,2025-08-02,,,False
tkt_lybwgmp9,org_phr62gds,usability,low,2025-07-28,2025-07-28,3.0,False
tkt_a9uri7ev,org_tvhhpbmy,availability,low,2025-08-02,2025-08-02,3.0,False
tkt_4dh9ugf1,org_jxepq85j,billing,medium,2025-06-05,2025-06-06,2.0,False
tkt_0oo1pvln,org_7e8g8jdp,performance,critical,2025-08-20,2025-08-21,5.0,False
tkt_d581lto4,org_zbikcidk,security,low,2025-05-19,,3.0,False
tkt_rq3q7gkt,org_a7tz0ync,security,medium,2025-06-23,,,False
tkt_mqg6nx9o,org_0lzjjege,billing,medium,2025-08-24,2025-08-24,,False
tkt_wwew9v08,org_phr62gds,usability,medium,2025-06-13,2025-06-14,,False
tkt_liuqdn05,org_om5igqpk,availability,low,2025-06-11,2025-06-12,3.0,False
tkt_xt54fn5g,org_dhylurtp,integration,low,2025-06-30,,0.0,False
tkt_77lk6hqi,org_cwi64ciy,usability,low,2025-07-26,2025-07-31,,False
tkt_v929sevl,org_ir4cowgz,usability,low,2025-07-02,2025-07-12,4.0,False
tkt_7fq8aby5,org_kdgigatj,security,critical,2025-08-09,2025-08-11,,False
tkt_95cpjze1,org_kdgigatj,usability,medium,2025-05-16,2025-05-20,3.0,False
tkt_xtar0ko3,org_wm31yiha,usability,low,2025-07-03,2025-07-06,,False
tkt_1nzsxpef,org_afeyuhz1,security,low,2025-08-31,2025-09-01,4.0,False
tkt_j31egom6,org_trp0j43d,availability,high,2025-05-21,2025-05-21,,False
tkt_2hdxc6ri,org_pvs7hzio,billing,low,2025-07-23,2025-07-23,4.0,False
tkt_jkq2zuv1,org_pvs7hzio,billing,medium,2025-08-03,2025-08-11,4.0,False
tkt_fkhnnk8f,org_ir4cowgz,integration,critical,2025-06-26,2025-06-30,,True
tkt_wrpk0zfk,org_xaji0y6d,availability,low,2025-08-14,2025-08-18,4.0,False
tkt_nwbhkvjz,org_he7ur23g,performance,high,2025-08-19,2025-08-22,3.0,False
tkt_09owgmf4,org_om5igqpk,billing,medium,2025-06-26,2025-06-27,3.0,False
tkt_ln5rgsg6,org_l58kxo9t,availability,medium,2025-06-25,2025-06-26,4.0,False
tkt_a8mlik22,org_5lxo6qji,performance,high,2025-08-18,2025-08-20,,True
tkt_xmq66442,org_874frhoc,availability,medium,2025-05-24,2025-05-27,2.0,False
tkt_sihxodlc,org_9t84azyt,integration,medium,2025-08-09,2025-08-09,2.0,False
tkt_tt058cui,org_253j2d54,availability,low,2025-07-23,,,False
tkt_j0yxiyqb,org_dzr1yxr2,integration,low,2025-07-13,2025-07-26,5.0,True
tkt_vtdg3c6s,org_id25owf7,usability,medium,2025-07-21,2025-07-24,,True
tkt_civuqt2l,org_pja1wj0t,availability,low,2025-08-20,2025-08-28,4.0,False
tkt_whedhthr,org_om5igqpk,availability,low,2025-07-23,,4.0,False
tkt_uu5e51h3,org_uzfk8ut0,security,low,2025-06-29,2025-06-29,,False
tkt_wqa1vrgs,org_zhwjr64d,availability,medium,2025-05-20,,2.0,False
tkt_s8k5ijul,org_rixa11dp,billing,medium,2025-08-15,2025-08-16,3.0,False
tkt_p98rl9qf,org_he7ur23g,billing,low,2025-05-17,2025-05-17,3.0,False
tkt_cpk7pwtg,org_dbdw2pcn,usability,low,2025-07-09,2025-07-15,2.0,False
tkt_21hsltdk,org_cvs4f8cg,performance,low,2025-07-13,2025-07-16,3.0,False
tkt_vuff124v,org_ykl1cq99,availability,medium,2025-05-25,2025-05-31,4.0,False
tkt_f89x22j7,org_ktakpuxq,integration,high,2025-07-11,,,False
tkt_q4kfmm0q,org_kdgigatj,billing,medium,2025-05-19,2025-05-19,5.0,True
tkt_pop1o8m2,org_d14ve92m,availability,medium,2025-05-23,2025-05-23,1.0,False
tkt_91azhzkn,org_ir4cowgz,integration,high,2025-06-17,2025-06-19,2.0,False
tkt_l2luhhs4,org_5935a0l7,billing,low,2025-07-13,2025-07-22,,False
tkt_dilrzq8b,org_ykl1cq99,billing,medium,2025-05-14,2025-05-26,,False
tkt_xy6rkvnd,org_pnsm43d8,security,low,2025-06-05,2025-06-14,3.0,False
tkt_xjn7de0l,org_cvs4f8cg,availability,low,2025-06-18,,,False
tkt_1offkhdi,org_chj755nf,integration,low,2025-08-22,2025-08-25,2.0,False
tkt_u1jtka1c,org_4zw9xa3k,security,low,2025-05-29,2025-06-07,2.0,False
tkt_2zl46q5g,org_9t84azyt,performance,high,2025-06-16,2025-06-16,,False
tkt_qqlyzj0a,org_ktakpuxq,availability,low,2025-08-01,2025-08-08,,False
tkt_eoorbt6s,org_teiyzcot,billing,low,2025-07-18,,4.0,False
tkt_apbs22ru,org_dbdw2pcn,integration,medium,2025-06-26,,1.0,False
tkt_w0u92t24,org_0lvsnujz,integration,high,2025-08-23,2025-08-24,2.0,False
tkt_d7v911pj,org_tvhhpbmy,usability,high,2025-08-11,,2.0,False
tkt_q50xcxms,org_sg65kxvf,billing,high,2025-07-07,,4.0,False
tkt_y3paua3a,org_he7ur23g,billing,low,2025-05-16,2025-05-16,4.0,False
tkt_ipjiylqx,org_g0fn9xuy,availability,medium,2025-06-16,,2.0,False
tkt_1um55f1h,org_l58kxo9t,usability,low,2025-07-27,2025-07-30,1.0,False
tkt_gav42t8l,org_53lc58dr,availability,medium,2025-06-21,,3.0,False
tkt_lihkpj7h,org_53lc58dr,usability,medium,2025-07-09,,,False
tkt_me6p4np0,org_n9j2qp89,performance,medium,2025-08-05,2025-08-09,3.0,False
tkt_0nqohn3d,org_253j2d54,integration,critical,2025-08-17,2025-08-20,5.0,False
tkt_g60e1erv,org_pseimvih,integration,medium,2025-07-07,2025-07-09,,False
tkt_0lg92mje,org_he7ur23g,integration,low,2025-06-26,2025-06-28,3.0,False
tkt_qa2o4m84,org_rixa11dp,availability,high,2025-06-14,2025-06-18,4.0,False
tkt_p4k9dxoq,org_sg65kxvf,integration,low,2025-08-15,2025-08-22,4.0,False
tkt_8jxlfiue,org_axeqbnhl,billing,low,2025-08-13,2025-08-19,4.0,False
tkt_fz1c25xn,org_1n13jcat,integration,critical,2025-06-28,2025-07-04,,False
tkt_ofg7803g,org_om5igqpk,billing,low,2025-08-17,2025-08-17,6.0,False
tkt_5dfrlw6j,org_uzfk8ut0,availability,high,2025-05-27,,3.0,False
tkt_l2l5b56b,org_dbdw2pcn,integration,medium,2025-07-10,2025-07-13,0.0,False
tkt_nvsfa6d9,org_fel6246h,availability,medium,2025-08-19,2025-08-21,6.0,False
tkt_er94tevw,org_uzfk8ut0,usability,low,2025-07-11,2025-07-16,4.0,False
tkt_lq6exnwz,org_5iqvnb4g,integration,medium,2025-07-06,2025-07-12,6.0,False
tkt_r04hhe7i,org_gv0e38da,usability,low,2025-05-28,2025-05-28,6.0,False
tkt_cdo5digx,org_0lzjjege,usability,low,2025-08-05,2025-08-07,2.0,False
tkt_l9ysu51e,org_om5igqpk,performance,medium,2025-05-12,2025-05-12,3.0,True
tkt_pxu7b6nb,org_hv3a3zmf,billing,medium,2025-06-27,,3.0,False
tkt_hgfb2flu,org_zbikcidk,performance,medium,2025-05-19,2025-05-25,5.0,False
tkt_rmw3uqhw,org_0lzjjege,integration,high,2025-08-24,2025-08-24,4.0,True
tkt_tek17m6j,org_phr62gds,performance,low,2025-05-11,2025-05-12,1.0,False
tkt_3rtxymsc,org_gv0e38da,performance,medium,2025-07-09,2025-07-10,,True
tkt_nx8eiqet,org_uzfk8ut0,integration,medium,2025-06-03,2025-06-03,,False
tkt_k5lp9c5s,org_9t84azyt,integration,high,2025-08-13,,2.0,True
tkt_o79h4ha0,org_dppq0y9d,performance,high,2025-06-06,2025-06-07,3.0,False
tkt_mvf4s2ni,org_sg65kxvf,billing,low,2025-06-27,,2.0,False
tkt_8tndfww4,org_ly8ozcyw,billing,critical,2025-08-04,,3.0,False
tkt_1f7v4k88,org_kdgigatj,billing,high,2025-06-26,2025-07-10,5.0,False
tkt_k686qe7a,org_9t84azyt,integration,high,2025-07-11,2025-07-14,5.0,False
tkt_jul7w8co,org_chj755nf,usability,low,2025-06-08,2025-06-11,5.0,False
tkt_f3138i2x,org_pja1wj0t,security,medium,2025-06-18,2025-06-24,3.0,False
tkt_og4c8j6e,org_7e8g8jdp,availability,critical,2025-07-31,2025-08-01,3.0,False
tkt_07fpy1ae,org_a7tz0ync,billing,low,2025-08-05,2025-08-07,,False
tkt_ldwqxke0,org_d14ve92m,billing,medium,2025-07-01,2025-07-06,4.0,False
tkt_qc96mj9n,org_1t2tala7,billing,low,2025-06-24,2025-06-28,2.0,False
tkt_6eqv5y21,org_he7ur23g,performance,medium,2025-08-15,2025-08-20,,False
tkt_id9vvn5x,org_xll4zklo,security,low,2025-07-20,,4.0,False
tkt_48pw5k0j,org_ofqewaou,billing,medium,2025-05-10,,4.0,False
tkt_jsp49cd3,org_ir4cowgz,integration,low,2025-07-14,,4.0,False
tkt_irvxd2zu,org_dppq0y9d,security,low,2025-05-11,2025-05-16,3.0,True
tkt_4ns7nvv2,org_rixa11dp,usability,high,2025-07-25,,3.0,False
tkt_8ue1my6p,org_zbikcidk,billing,critical,2025-07-07,,2.0,False
tkt_o0m24us7,org_i3qk2iag,usability,medium,2025-07-28,2025-07-29,,False
tkt_3w1yaua8,org_zbikcidk,security,low,2025-05-21,2025-05-22,,False
tkt_d7204j3m,org_g0fn9xuy,security,low,2025-07-20,,4.0,False
tkt_9iqbq9j2,org_chj755nf,billing,medium,2025-06-17,,4.0,False
tkt_h1tlom34,org_dppq0y9d,billing,low,2025-06-14,,2.0,False
tkt_4mw04i3d,org_phr62gds,performance,low,2025-05-17,2025-05-19,,False
tkt_zxlrgnjz,org_zbikcidk,integration,medium,2025-08-12,2025-08-16,,False
tkt_m3618leu,org_rixa11dp,integration,low,2025-07-12,,,False
tkt_6zu1tozh,org_xll4zklo,performance,low,2025-05-17,2025-05-22,3.0,False
tkt_dv5ojzto,org_9t84azyt,usability,low,2025-07-18,2025-07-31,5.0,False
tkt_7d835kuc,org_cvs4f8cg,billing,medium,2025-08-14,2025-08-16,,True
tkt_9pbtyjr3,org_zhwjr64d,availability,low,2025-06-17,2025-06-19,2.0,True
tkt_9iixhaia,org_1n13jcat,availability,low,2025-08-25,2025-08-31,1.0,False
tkt_w4otuo4u,org_ktakpuxq,security,medium,2025-07-15,,5.0,False
tkt_w590z92j,org_teiyzcot,billing,low,2025-06-13,,1.0,False
tkt_n67lm8e4,org_vyie6ivw,integration,low,2025-05-14,,,False
tkt_9ite92sr,org_gv0e38da,integration,medium,2025-06-18,2025-06-25,2.0,False
tkt_l3vzzxt9,org_cwi64ciy,billing,medium,2025-06-17,2025-06-18,3.0,False
tkt_qubwrp8g,org_8mdd4v30,billing,medium,2025-07-04,2025-07-05,1.0,False
tkt_uucm5fyc,org_4zw9xa3k,billing,high,2025-08-15,2025-08-20,3.0,False
tkt_zu80zrz7,org_ykl1cq99,performance,critical,2025-06-15,2025-06-19,1.0,False
tkt_9hqtylu5,org_9mx2x18h,performance,high,2025-07-24,,,False
tkt_8ftylavz,org_9mx2x18h,performance,medium,2025-05-24,2025-05-26,,False
tkt_me9wt00i,org_g0fn9xuy,availability,low,2025-08-26,2025-08-29,3.0,False
tkt_v1ggxred,org_0lzjjege,integration,high,2025-05-15,2025-05-17,1.0,False
tkt_8u8nozem,org_874frhoc,security,low,2025-06-26,,,False
tkt_dmz5rgoi,org_pseimvih,integration,low,2025-05-11,,1.0,False
tkt_9wm1sav9,org_afeyuhz1,performance,high,2025-06-23,2025-07-02,,False
tkt_cng8tana,org_wm31yiha,integration,high,2025-07-25,2025-08-06,2.0,False
tkt_6u48gwgh,org_41ibljh7,availability,medium,2025-07-22,,2.0,False
tkt_m56vu6z5,org_cvs4f8cg,usability,critical,2025-07-07,2025-07-14,,False
tkt_gf3bbt87,org_ohp6vz41,integration,high,2025-06-30,2025-07-01,3.0,False
tkt_3lkmgs6r,org_w3zp08j3,usability,low,2025-06-26,2025-06-29,5.0,False
tkt_v9777tnq,org_dhylurtp,availability,medium,2025-08-24,2025-09-02,,False
tkt_etmni3go,org_1t2tala7,billing,critical,2025-07-21,,2.0,False
tkt_m6736z4d,org_g8sbi4q2,availability,high,2025-05-14,2025-05-21,4.0,False
tkt_sxlsutot,org_jxepq85j,billing,high,2025-08-31,,2.0,True
tkt_hlqh7ppc,org_ktakpuxq,billing,low,2025-08-05,2025-08-05,3.0,False
tkt_aduvl911,org_pac56t4u,performance,high,2025-08-16,2025-08-29,,False
tkt_zsb8lv6t,org_0lzjjege,availability,medium,2025-06-13,,,True
tkt_x0tbkg8b,org_pja1wj0t,security,low,2025-07-28,2025-08-01,2.0,False
tkt_350sgnz6,org_1t2tala7,availability,medium,2025-08-31,2025-09-19,2.0,False
tkt_d86zchhx,org_he7ur23g,billing,medium,2025-05-22,2025-05-22,5.0,False
tkt_a7hy7ai3,org_wm31yiha,usability,high,2025-08-11,2025-08-16,3.0,False
tkt_3993n4bf,org_dbdw2pcn,integration,medium,2025-07-14,2025-07-23,,False
tkt_iy5pu5wh,org_chj755nf,billing,medium,2025-07-12,2025-07-17,2.0,False
tkt_50jyook6,org_9mx2x18h,performance,medium,2025-06-08,2025-06-11,4.0,False
tkt_3rvwozqx,org_ly8ozcyw,security,low,2025-06-02,2025-06-08,3.0,False
tkt_iwe6rgl7,org_kdgigatj,availability,high,2025-08-08,,,False
tkt_jy7otkud,org_phr62gds,performance,high,2025-06-25,,,False
tkt_e358tre9,org_1swjckjl,performance,high,2025-08-24,2025-08-24,3.0,True
tkt_qdi3g13i,org_3t60rjiw,billing,high,2025-07-09,2025-07-09,3.0,False
tkt_wpfvb71g,org_fel6246h,security,low,2025-08-11,,3.0,False
tkt_hlu8m87m,org_4zw9xa3k,availability,medium,2025-07-06,2025-07-08,3.0,False
tkt_hxofkcgg,org_dppq0y9d,billing,high,2025-07-24,2025-07-25,,False
tkt_xp5cituf,org_9mx2x18h,performance,high,2025-08-03,,4.0,False
tkt_8cyotwg7,org_pvs7hzio,security,medium,2025-07-18,2025-07-18,4.0,False
tkt_nfdinu31,org_a7tz0ync,billing,medium,2025-06-11,2025-06-11,4.0,False
tkt_eiwucx67,org_3t60rjiw,security,low,2025-08-25,2025-08-27,3.0,False
tkt_xkwq0ywm,org_trp0j43d,billing,high,2025-08-25,,3.0,True
tkt_9q7ftmfw,org_y9v86wzs,availability,medium,2025-06-05,2025-06-05,4.0,True
tkt_g895na2f,org_1t2tala7,integration,low,2025-08-21,2025-09-01,3.0,False
tkt_qztio4m7,org_ly8ozcyw,usability,critical,2025-06-11,,4.0,False
tkt_pp0pnnlo,org_i3qk2iag,security,medium,2025-07-19,,4.0,False
tkt_0hhgh5xw,org_zhwjr64d,availability,high,2025-07-02,2025-07-04,4.0,False
tkt_6t1oxhfd,org_ktakpuxq,integration,high,2025-06-04,2025-06-04,,False
tkt_xk31wbht,org_4zw9xa3k,availability,low,2025-06-28,2025-06-28,3.0,False
tkt_fnsgpyny,org_rixa11dp,performance,low,2025-07-18,2025-07-24,2.0,False
tkt_j0ufo2ho,org_wm31yiha,billing,low,2025-06-22,2025-06-26,2.0,False
tkt_q5e7l7w0,org_dppq0y9d,security,medium,2025-06-16,2025-06-22,3.0,False
tkt_5y2da5b4,org_sg65kxvf,availability,medium,2025-07-04,,6.0,True
tkt_l6hfh4n6,org_pbhsahxt,usability,low,2025-06-06,2025-06-17,,False
tkt_v3rzkdu6,org_5935a0l7,security,medium,2025-05-13,,3.0,False
tkt_fotwftq9,org_g0fn9xuy,integration,high,2025-08-23,2025-08-25,3.0,False
tkt_y69xfq1e,org_ir4cowgz,usability,low,2025-06-10,2025-06-10,3.0,False
tkt_nngay37v,org_wm31yiha,integration,high,2025-08-10,2025-08-18,1.0,False
tkt_g688u595,org_9mx2x18h,integration,low,2025-05-11,2025-05-12,2.0,False
tkt_cekof92y,org_pac56t4u,security,low,2025-07-31,2025-08-05,,True
tkt_8lz8cv2a,org_9t84azyt,security,low,2025-07-20,,3.0,False
tkt_6pg4gks6,org_pht0hl9x,security,high,2025-06-06,2025-06-12,5.0,False
tkt_r6bilqpb,org_okep7y6w,usability,critical,2025-06-16,2025-06-16,4.0,False
tkt_01qcte9w,org_cvs4f8cg,usability,low,2025-05-19,,5.0,False
tkt_0an6nbyz,org_pseimvih,performance,medium,2025-07-06,2025-07-08,,False
tkt_m242om7z,org_1n13jcat,security,low,2025-05-10,2025-05-12,2.0,True
tkt_trj67dxl,org_5935a0l7,usability,high,2025-05-11,2025-05-17,3.0,False
tkt_se33dcnf,org_vyie6ivw,security,low,2025-07-05,,,False
tkt_225aa35w,org_dbdw2pcn,usability,medium,2025-06-29,2025-07-01,,False
tkt_fw5q52de,org_okep7y6w,availability,critical,2025-08-12,2025-08-14,4.0,False
tkt_zh0cd8a2,org_zbikcidk,performance,medium,2025-05-20,,5.0,False
tkt_ibcltrh9,org_ir4cowgz,integration,low,2025-08-29,2025-09-08,3.0,True
tkt_vgky5cga,org_nam148p0,usability,low,2025-07-31,2025-08-11,4.0,False
tkt_ghft9zzc,org_okep7y6w,security,low,2025-06-22,2025-07-06,5.0,False
tkt_gl9fwvvs,org_ohp6vz41,security,high,2025-06-05,2025-06-07,3.0,True
tkt_kp30tx8j,org_pbhsahxt,integration,medium,2025-05-13,2025-05-13,2.0,False
tkt_1ccm0w3c,org_1t2tala7,availability,medium,2025-07-04,2025-07-17,4.0,False
tkt_1za0dv6n,org_i7p5tb94,availability,high,2025-06-28,2025-06-28,,False
tkt_yycj4q0r,org_chj755nf,integration,low,2025-05-09,2025-05-11,,False
tkt_r1l9gvbm,org_zbikcidk,performance,low,2025-07-05,2025-07-08,4.0,False
tkt_qq749q6q,org_i3qk2iag,usability,low,2025-08-19,,,False
tkt_f1pafl9w,org_c11ertj5,performance,medium,2025-07-02,2025-07-16,,False
tkt_oa2xgvgd,org_teiyzcot,security,medium,2025-07-22,2025-07-24,,False
tkt_ofmaok8t,org_pseimvih,security,high,2025-08-26,2025-08-26,3.0,False
tkt_ir0p8f8c,org_pac56t4u,integration,high,2025-07-03,2025-07-09,2.0,False
tkt_8clrki72,org_t9nt3w5u,integration,medium,2025-06-12,2025-06-23,2.0,False
tkt_oalfwype,org_fel6246h,integration,critical,2025-08-11,2025-08-24,2.0,False
tkt_ek035n8c,org_0lvsnujz,performance,high,2025-07-02,2025-07-27,3.0,False
tkt_qphli5l6,org_5935a0l7,usability,critical,2025-05-28,2025-05-30,,False
tkt_92tulgel,org_chj755nf,integration,high,2025-05-20,2025-05-20,4.0,False
